id,cover,genres,name,rating,cover_big,has_cars
7081,//images.igdb.com/igdb/image/upload/t_thumb/co1nmg.jpg,['Shooter'],Battlefield Hardline,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1nmg.jpg,False
7120,//images.igdb.com/igdb/image/upload/t_thumb/co2g49.jpg,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",NieR,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2g49.jpg,False
7122,//images.igdb.com/igdb/image/upload/t_thumb/v2cz2ltt4bau4lp1fhfe.jpg,"['Fighting', ""Hack and slash/Beat 'em up"", 'Adventure']",Ninja Gaiden 3,5,//images.igdb.com/igdb/image/upload/t_cover_big/v2cz2ltt4bau4lp1fhfe.jpg,False
7124,//images.igdb.com/igdb/image/upload/t_thumb/k3ugm1njuedfrpt4qsnp.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",No More Heroes: Heroes' Paradise,5,//images.igdb.com/igdb/image/upload/t_cover_big/k3ugm1njuedfrpt4qsnp.jpg,False
7186,//images.igdb.com/igdb/image/upload/t_thumb/hdjy1cji2orno6vnvecb.jpg,['Shooter'],Shellshock 2: Blood Trails,5,//images.igdb.com/igdb/image/upload/t_cover_big/hdjy1cji2orno6vnvecb.jpg,False
7191,//images.igdb.com/igdb/image/upload/t_thumb/co1il0.jpg,"['Fighting', ""Hack and slash/Beat 'em up""]",Splatterhouse,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1il0.jpg,False
7200,//images.igdb.com/igdb/image/upload/t_thumb/k81kgig7lmyauzdzzdnb.jpg,"['Fighting', 'Sport']",Supremacy MMA,5,//images.igdb.com/igdb/image/upload/t_cover_big/k81kgig7lmyauzdzzdnb.jpg,False
7232,//images.igdb.com/igdb/image/upload/t_thumb/co1npe.jpg,['Shooter'],Velvet Assassin,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1npe.jpg,False
7234,//images.igdb.com/igdb/image/upload/t_thumb/co2kc9.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Viking: Battle for Asgard,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2kc9.jpg,False
7244,//images.igdb.com/igdb/image/upload/t_thumb/co2hse.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Warriors: Legends of Troy,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2hse.jpg,False
7291,//images.igdb.com/igdb/image/upload/t_thumb/co1pr1.jpg,['Shooter'],Hunt: Showdown,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1pr1.jpg,False
7292,//images.igdb.com/igdb/image/upload/t_thumb/co1y08.jpg,['Fighting'],Mortal Kombat X,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1y08.jpg,False
7310,//images.igdb.com/igdb/image/upload/t_thumb/jlavaqjx7k8get9ar6cu.jpg,"[""Hack and slash/Beat 'em up""]",Bloodforge,5,//images.igdb.com/igdb/image/upload/t_cover_big/jlavaqjx7k8get9ar6cu.jpg,False
7317,//images.igdb.com/igdb/image/upload/t_thumb/co28oe.jpg,['Shooter'],Haze,5,//images.igdb.com/igdb/image/upload/t_cover_big/co28oe.jpg,False
7323,//images.igdb.com/igdb/image/upload/t_thumb/co1rqa.jpg,"['Shooter', 'Adventure']",Rise of the Tomb Raider,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1rqa.jpg,False
7333,//images.igdb.com/igdb/image/upload/t_thumb/co2388.jpg,['Shooter'],Crackdown 3,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2388.jpg,False
7342,//images.igdb.com/igdb/image/upload/t_thumb/co2fca.jpg,"['Platform', 'Puzzle', 'Adventure', 'Indie']",INSIDE,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2fca.jpg,False
7351,//images.igdb.com/igdb/image/upload/t_thumb/co1nc7.jpg,['Shooter'],DOOM,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1nc7.jpg,False
7360,//images.igdb.com/igdb/image/upload/t_thumb/co2a1y.jpg,"['Shooter', 'Tactical']",Tom Clancy's Rainbow Six Siege,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2a1y.jpg,False
7420,//images.igdb.com/igdb/image/upload/t_thumb/co1j63.jpg,"['Role-playing (RPG)', 'Tactical', 'Adventure', 'Arcade']",How to Survive,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1j63.jpg,False
7457,//images.igdb.com/igdb/image/upload/t_thumb/co2i48.jpg,"['Shooter', 'Puzzle', 'Adventure']",Siren: Blood Curse,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2i48.jpg,False
7504,//images.igdb.com/igdb/image/upload/t_thumb/co20x5.jpg,"['Puzzle', 'Simulator', 'Strategy', 'Adventure', 'Indie']",The Forest,5,//images.igdb.com/igdb/image/upload/t_cover_big/co20x5.jpg,False
7518,//images.igdb.com/igdb/image/upload/t_thumb/co25f2.jpg,"[""Hack and slash/Beat 'em up"", 'Indie']",Shank,5,//images.igdb.com/igdb/image/upload/t_cover_big/co25f2.jpg,False
7570,//images.igdb.com/igdb/image/upload/t_thumb/co1xir.jpg,['Adventure'],Assassin's Creed: Rogue,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1xir.jpg,False
7603,//images.igdb.com/igdb/image/upload/t_thumb/co2l7l.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Hellblade: Senua's Sacrifice,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2l7l.jpg,False
7609,//images.igdb.com/igdb/image/upload/t_thumb/co1mqe.jpg,['Adventure'],Until Dawn,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1mqe.jpg,False
7610,//images.igdb.com/igdb/image/upload/t_thumb/co1nrt.jpg,['Adventure'],Game of Thrones: A Telltale Games Series,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1nrt.jpg,False
7631,//images.igdb.com/igdb/image/upload/t_thumb/h9q0rbhidsi5sbwcre3m.jpg,['Shooter'],OVERKILL's The Walking Dead,5,//images.igdb.com/igdb/image/upload/t_cover_big/h9q0rbhidsi5sbwcre3m.jpg,False
7666,//images.igdb.com/igdb/image/upload/t_thumb/ql2qu4cosvd5opcl1uxq.jpg,['Shooter'],Rekoil,5,//images.igdb.com/igdb/image/upload/t_cover_big/ql2qu4cosvd5opcl1uxq.jpg,False
7706,//images.igdb.com/igdb/image/upload/t_thumb/co1ncf.jpg,"['Simulator', 'Strategy', 'Adventure', 'Indie']",This War of Mine,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ncf.jpg,False
7707,//images.igdb.com/igdb/image/upload/t_thumb/co1y9h.jpg,"['Shooter', 'Adventure']",Saints Row IV: Re-elected,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1y9h.jpg,True
7710,//images.igdb.com/igdb/image/upload/t_thumb/co2c6r.jpg,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']",State of Decay: Year-One Survival Edition,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2c6r.jpg,False
7725,//images.igdb.com/igdb/image/upload/t_thumb/co2fof.jpg,"['Shooter', 'Adventure']",Resident Evil: Revelations 2,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2fof.jpg,False
7857,//images.igdb.com/igdb/image/upload/t_thumb/co1mqh.jpg,"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Indie']",Hatred,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1mqh.jpg,False
8036,//images.igdb.com/igdb/image/upload/t_thumb/co24l6.jpg,"['Shooter', 'Simulator', 'Strategy', 'Indie']",Verdun,5,//images.igdb.com/igdb/image/upload/t_cover_big/co24l6.jpg,False
8187,//images.igdb.com/igdb/image/upload/t_thumb/co24o5.jpg,['Adventure'],Just Cause 3,5,//images.igdb.com/igdb/image/upload/t_cover_big/co24o5.jpg,False
8216,//images.igdb.com/igdb/image/upload/t_thumb/co1zlk.jpg,['Adventure'],Assassin's Creed: Brotherhood: The Da Vinci Disappearance,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1zlk.jpg,False
8237,//images.igdb.com/igdb/image/upload/t_thumb/co1p2k.jpg,"['Shooter', 'Racing']",The Getaway,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1p2k.jpg,False
8238,//images.igdb.com/igdb/image/upload/t_thumb/co1p2l.jpg,"['Shooter', 'Racing']",The Getaway: Black Monday,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1p2l.jpg,False
8254,//images.igdb.com/igdb/image/upload/t_thumb/co1taw.jpg,['Adventure'],Resident Evil: HD Remaster,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1taw.jpg,False
8263,//images.igdb.com/igdb/image/upload/t_thumb/co1xis.jpg,['Adventure'],Assassin's Creed: Syndicate,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1xis.jpg,False
8277,//images.igdb.com/igdb/image/upload/t_thumb/co1otm.jpg,"['Shooter', 'Adventure']",Cold Winter,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1otm.jpg,False
8344,//images.igdb.com/igdb/image/upload/t_thumb/ep9ciqfvdchprbciwxsr.jpg,['Shooter'],Operation Thunderstorm,5,//images.igdb.com/igdb/image/upload/t_cover_big/ep9ciqfvdchprbciwxsr.jpg,False
8375,//images.igdb.com/igdb/image/upload/t_thumb/co1o72.jpg,['Shooter'],Afterfall: Insanity,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1o72.jpg,False
8468,//images.igdb.com/igdb/image/upload/t_thumb/co2j2r.jpg,"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",The Room,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2j2r.jpg,False
8469,//images.igdb.com/igdb/image/upload/t_thumb/co2b6v.jpg,"['Shooter', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",Urban Chaos,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2b6v.jpg,False
8547,//images.igdb.com/igdb/image/upload/t_thumb/co22ty.jpg,,Steel Battalion: Heavy Armor,5,//images.igdb.com/igdb/image/upload/t_cover_big/co22ty.jpg,False
8576,//images.igdb.com/igdb/image/upload/t_thumb/co25oy.jpg,"['Fighting', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",Drakengard 3,5,//images.igdb.com/igdb/image/upload/t_cover_big/co25oy.jpg,False
8600,//images.igdb.com/igdb/image/upload/t_thumb/aaysrl1cz6ooigk6xmy0.jpg,"['Shooter', 'Adventure']",Fear Effect,5,//images.igdb.com/igdb/image/upload/t_cover_big/aaysrl1cz6ooigk6xmy0.jpg,False
8601,//images.igdb.com/igdb/image/upload/t_thumb/qivsgaf1cazhwab9rsym.jpg,"['Shooter', 'Adventure']",Fear Effect 2: Retro Helix,5,//images.igdb.com/igdb/image/upload/t_cover_big/qivsgaf1cazhwab9rsym.jpg,False
8656,//images.igdb.com/igdb/image/upload/t_thumb/co2kcf.jpg,"['Point-and-click', 'Adventure']",Leisure Suit Larry Goes Looking for Love (in Several Wrong Places),5,//images.igdb.com/igdb/image/upload/t_cover_big/co2kcf.jpg,False
8729,//images.igdb.com/igdb/image/upload/t_thumb/co1q8o.jpg,['Role-playing (RPG)'],Vampyr,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1q8o.jpg,False
8968,//images.igdb.com/igdb/image/upload/t_thumb/co1nmo.jpg,"['Adventure', 'Indie']",Everlasting Summer,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1nmo.jpg,False
9002,//images.igdb.com/igdb/image/upload/t_thumb/pyrm16h1ciwhfs8kpjrc.jpg,"['Shooter', 'Role-playing (RPG)', 'Adventure']",Redneck Rampage,5,//images.igdb.com/igdb/image/upload/t_cover_big/pyrm16h1ciwhfs8kpjrc.jpg,False
9006,//images.igdb.com/igdb/image/upload/t_thumb/hzap79hweavxxhyzxfed.jpg,"['Shooter', ""Hack and slash/Beat 'em up"", 'Adventure']",Conan,5,//images.igdb.com/igdb/image/upload/t_cover_big/hzap79hweavxxhyzxfed.jpg,False
9070,//images.igdb.com/igdb/image/upload/t_thumb/co2hd6.jpg,"['Fighting', 'Shooter', 'Platform']",The Showdown Effect,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2hd6.jpg,False
9176,//images.igdb.com/igdb/image/upload/t_thumb/co2d3a.jpg,"['Role-playing (RPG)', 'Adventure']",Call of Cthulhu,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2d3a.jpg,False
9192,//images.igdb.com/igdb/image/upload/t_thumb/co21et.jpg,"['Shooter', 'Adventure']",Wolfenstein: The Old Blood,5,//images.igdb.com/igdb/image/upload/t_cover_big/co21et.jpg,False
